year,emig,er_phl,gdppc_phl,gdppc_usa,unemp_phl,unemp_usa,tax_phl,tax_usa,ln_emig,ln_er_phl,ln_gdppc_phl,ln_gdppc_usa,ln_unemp_phl,ln_unemp_usa,ln_tax_phl,ln_tax_usa
1991,43824,27.47863333,1656.383497,38449.88153,3.727,6.8,12.80958835,10.32034243,10.68793689,3.313408733,7.412391888,10.55711089,1.31560362,1.916922612,2.55019398,2.334116941
1992,46691,25.51249167,1624.349398,39256.04813,3.849,7.5,13.53887306,9.984161837,10.75130671,3.239168202,7.392862644,10.5778608,1.347813374,2.014903021,2.605565034,2.301000021
1993,44903,27.11984167,1620.355058,39807.8795,3.869,6.9,13.68088118,10.30493432,10.71225989,3.300265625,7.390400576,10.59182015,1.352996076,1.931521412,2.615999324,2.332622841
1994,40515,26.41716667,1654.746139,40907.01844,3.767,6.119,14.03788872,10.62350664,10.60942755,3.274014051,7.411402886,10.61905693,1.326278929,1.811398684,2.641760011,2.363069153
1995,34614,25.71446667,1693.808731,41507.91356,3.68,5.65,14.26625524,10.98098904,10.4520135,3.247053739,7.434734959,10.63363938,1.302912752,1.731655545,2.657896975,2.396165509
1996,41312,26.2161,1752.238001,42575.68969,3.607,5.451,14.82664166,11.37391458,10.62890829,3.266373726,7.468649108,10.6590387,1.282876402,1.695799078,2.696425675,2.431322539
1997,37002,29.47065833,1800.259131,43936.905,3.592,5,14.86149493,11.82819655,10.51872724,3.383395135,7.495685895,10.69050991,1.27870915,1.609437912,2.698773635,2.470486219
1998,24886,40.89305,1746.525905,45374.62152,3.697,4.511,13.67546376,12.32982914,10.12206068,3.710960122,7.465383897,10.72270823,1.30752168,1.506518858,2.615603261,2.51202146
1999,24123,39.08898333,1759.421052,47004.46902,3.751,4.219,12.89543709,12.25997931,10.09092102,3.665840671,7.472740086,10.75799796,1.322022471,1.439598133,2.556873535,2.506340243
2000,31324,44.19225,1793.347611,48379.75517,3.77,3.992,12.44032476,12.97080036,10.35213986,3.788549434,7.491839326,10.78683672,1.327075001,1.384292358,2.520943193,2.562700705
2001,31287,50.99265,1807.708925,48361.01676,3.698,4.731,12.26550865,11.8577039,10.35095795,3.931681505,7.499815535,10.78644933,1.307792133,1.554136597,2.506791149,2.472977774
2002,36557,51.60356667,1837.254293,48729.15864,3.616,5.783,11.66813069,9.868012202,10.50662797,3.943590792,7.516027504,10.79403287,1.285368443,1.754922579,2.456861253,2.289298435
