year,emig,er_phl,er_usa,gdppc_phl,gdppc_usa,unemp_phl,unemp_usa,tax_rev_phl,tax_rev_usa,tax_rate_phl,tax_rate_usa,emp_phl,emp_usa,gov_consumption_phl,gov_consumption_usa,labor_share_phl,labor_share_usa
1950,,,,,,,,,,,,6.5799041,62.4649,0.1277551,0.1026,0.4403513,0.6284
1951,,,,,,,,,,,,6.7677231,64.9349,0.130744,0.1275,0.4403513,0.6337
1952,,,,,,,,,,,,6.9608841,65.8291,0.1316048,0.1473,0.4403513,0.6449
1953,,,,,,,,,,,,7.1595373,66.7851,0.1222194,0.1505,0.4403513,0.6445
1954,,,,,,,,,,,,7.3638272,65.5197,0.1204195,0.1413,0.4403513,0.6371
1955,,,,,,,,,,,,7.5739079,67.2934,0.1181329,0.131,0.4403513,0.6268
1956,,,,,,,,,,,,7.7899685,68.8956,0.1177712,0.128,0.4403513,0.6404
1957,,,,,,,,,,,,7.8813982,69.2199,0.1154155,0.1311,0.4403513,0.6387
1958,,,,,,,,,,,,8.3220167,67.9431,0.1162983,0.1362,0.4403513,0.6358
1959,,,,,,,,,,,,8.4679079,69.4829,0.1077693,0.1275,0.4403513,0.6294
1960,,,,,,,,,,,,8.3054743,70.646,0.1176714,0.1248,0.4403513,0.6367
1961,,,,,,,,,,,,8.9921684,70.6938,0.1203683,0.1281,0.4403513,0.6337
1962,,,,,,,,,,,,9.378314,71.7678,0.1140275,0.1297,0.4403513,0.6291
1963,,,,,,,,,,,,9.7654266,72.7673,0.116544,0.1276,0.4403513,0.6264
1964,,,,,,,,,,,,10.2828732,74.4172,0.1204043,0.1242,0.4403513,0.6244
1965,,,,,,,,,,,,10.0397186,76.191,0.1225745,0.1235,0.4403513,0.6194
1966,,,,,,,,,,,,10.6836081,78.5942,0.1203367,0.1286,0.4403513,0.6229
1967,,,,,,,,,,,,11.2107887,80.5108,0.1338652,0.1391,0.4403513,0.6301
1968,,,,,,,,,,,,11.162158,82.1303,0.135606,0.1414,0.4403513,0.6342
1969,,,,,,,,,,,,10.9277496,84.0794,0.1373451,0.1416,0.4403513,0.6439
1970,,,,,,,,,,,,11.0473862,84.4426,0.1386872,0.1417,0.4403513,0.649
1971,,,,,,,,,,,,12.1999788,84.6576,0.1527275,0.1394,0.4403513,0.6376
1972,,,,,,,,,,,,12.2563028,87.0524,0.1758475,0.1347,0.4403513,0.6394
1973,,,,,,,,,,,,13.5230637,89.9233,0.1917663,0.1262,0.4403513,0.6407
1974,,,,,,,,,,,,13.4846373,91.6358,0.2218351,0.1307,0.4403513,0.641
1975,,,,,,,,,,,,14.170536,90.5058,0.2371426,0.1355,0.4403513,0.6256
1976,,7.440258332,1,1683.659989,28370.457,,,,,,,13.9064398,93.325,0.2207914,0.1282,0.4403513,0.6216
1977,,7.402824999,1,1730.594097,29385.31926,,,,,,,13.9547749,96.5252,0.2118701,0.1249,0.4403513,0.6216
1978,,7.365758333,1,1772.228202,30684.99877,,,,,,,15.6959734,100.4925,0.2014957,0.1199,0.4403513,0.6223
1979,,7.377549999,1,1822.145023,31309.04932,,,,,,,15.8419752,103.1409,0.198668,0.116,0.4403513,0.6226
1980,,7.511433332,1,1867.568624,30930.42145,,,,,,,16.0088863,103.4705,0.1865976,0.1188,0.4403513,0.6243
1981,40307,7.899649999,1,1881.815203,31405.60626,,,,,,,16.9640198,104.6984,0.1803095,0.1194,0.4403513,0.6142
1982,44438,8.539999999,1,1898.139306,30546.75875,,,,,,,16.8753815,103.9799,0.1909052,0.1249,0.4403513,0.6167
1983,34794,11.11271667,1,1878.601734,31656.17366,,,,,,,18.6602173,105.4354,0.1801629,0.122,0.4403513,0.6039
1984,34682,16.69870833,1,1696.576738,33654.30793,,,,,,,19.0395069,109.8617,0.172898,0.115,0.4403513,0.602
1985,38653,18.60734167,1,1537.665558,34748.26687,,,,,,,19.171236,112.1909,0.1872115,0.1159,0.4403513,0.6023
1986,40650,20.38568333,1,1551.408928,35620.75936,,,,,,,19.9527473,114.7296,0.186727,0.1187,0.4403513,0.6077
1987,40813,20.567675,1,1576.97337,36523.40449,,,,,,,20.1273594,117.6642,0.1840268,0.1174,0.4403513,0.616
1988,41378,21.094675,1,1638.036824,37705.06004,,,,,,,20.7961273,120.2041,0.1896912,0.1147,0.4403513,0.6207
1989,39524,21.73668333,1,1696.002363,38722.25215,,,,,,,21.1202278,122.5501,0.19426,0.1143,0.4403513,0.6119
1990,43781,24.3105,1,1704.075689,39009.37251,,,12.35461036,10.46528476,32.54185893,89.82629875,21.7438412,123.9097,0.1867998,0.1088,0.4403513,0.6152
