year,emig
1981,"40,307"
1982,"44,438"
1983,"34,794"
1984,"34,682"
1985,"38,653"
1986,"40,650"
1987,"40,813"
1988,"41,378"
1989,"39,524"
1990,"43,781"
1991,"43,824"
1992,"46,691"
1993,"44,903"
1994,"40,515"
1995,"34,614"
1996,"41,312"
1997,"37,002"
1998,"24,886"
1999,"24,123"
2000,"31,324"
2001,"31,287"
2002,"36,557"
2003,"33,916"
2004,"42,350"
2005,"40,280"
2006,"49,522"
2007,"46,420"
2008,"34,201"
2009,"40,598"
2010,"42,007"
2011,"38,463"
2012,"39,124"
2013,"38,637"
2014,"39,594"
2015,"40,814"
2016,"41,298"
2017,"34,956"
2018,"35,839"
2019,"32,698"
2020,"6,539"
2021,"7,122"
2022,"18,560"
2023,"29,502"
2024,"32,899"
