year,er_phl,er_usa
1976,7.440258332,1
1977,7.402824999,1
1978,7.365758333,1
1979,7.377549999,1
1980,7.511433332,1
1981,7.899649999,1
1982,8.539999999,1
1983,11.11271667,1
1984,16.69870833,1
1985,18.60734167,1
1986,20.38568333,1
1987,20.567675,1
1988,21.094675,1
1989,21.73668333,1
1990,24.3105,1
1991,27.47863333,1
1992,25.51249167,1
1993,27.11984167,1
1994,26.41716667,1
1995,25.71446667,1
1996,26.2161,1
1997,29.47065833,1
1998,40.89305,1
1999,39.08898333,1
2000,44.19225,1
2001,50.99265,1
2002,51.60356667,1
2003,54.20333333,1
2004,56.03991667,1
2005,55.08549167,1
2006,51.3142725,1
2007,46.14839118,1
2008,44.32328761,1
2009,47.67968845,1
2010,45.10966418,1
2011,43.31313692,1
2012,42.22879473,1
2013,42.44618483,1
2014,44.3951543,1
2015,45.50283994,1
2016,47.49246386,1
2017,50.40371979,1
2018,52.66142995,1
2019,51.79578265,1
2020,49.624096,1
2021,49.25459773,1
2022,54.47778584,1
2023,55.63036322,1
2024,57.29065507,1
