year,tax_rev_phl,tax_rev_usa
1990,12.35461036,10.46528476
1991,12.80958835,10.32034243
1992,13.53887306,9.984161837
1993,13.68088118,10.30493432
1994,14.03788872,10.62350664
1995,14.26625524,10.98098904
1996,14.82664166,11.37391458
1997,14.86149493,11.82819655
1998,13.67546376,12.32982914
1999,12.89543709,12.25997931
2000,12.44032476,12.97080036
2001,12.26550865,11.8577039
2002,11.66813069,9.868012202
2003,11.66643259,9.390699103
2004,11.36440439,9.537472979
2005,11.92422406,10.68173114
2006,13.12730144,11.31047567
2007,12.9604093,11.28991352
2008,13.03351369,10.27619094
2009,11.69893557,7.90351822
2010,11.63527559,8.563225761
2011,11.84900078,9.538930988
2012,12.30592712,9.76391603
2013,12.74382206,10.48350933
2014,13.01551718,10.93543202
2015,13.01961059,11.23749406
2016,13.08710069,10.91826691
2017,13.59379375,11.58348316
2018,14.04753328,9.989242074
2019,14.48847302,9.958300726
2020,13.95098571,10.29498405
2021,14.13000393,11.5735963
2022,14.61900582,12.79673007
2023,14.10443534,10.81307355
