year,unemp_phl,unemp_usa
1991,3.727,6.800
1992,3.849,7.500
1993,3.869,6.900
1994,3.767,6.119
1995,3.680,5.650
1996,3.607,5.451
1997,3.592,5.000
1998,3.697,4.511
1999,3.751,4.219
2000,3.770,3.992
2001,3.698,4.731
2002,3.616,5.783
2003,3.527,5.989
2004,3.554,5.529
2005,3.795,5.084
2006,4.052,4.623
2007,3.434,4.622
2008,3.720,5.784
2009,3.858,9.254
2010,3.605,9.633
2011,3.592,8.949
2012,3.504,8.069
2013,3.497,7.375
2014,3.600,6.168
2015,3.068,5.280
2016,2.695,4.869
2017,2.552,4.355
2018,2.338,3.896
2019,2.237,3.669
2020,2.522,8.055
2021,3.398,5.349
2022,2.598,3.650
2023,2.200,3.638
2024,2.202,4.022
2025,2.235,4.198
